Species_ID;Species_Name;Region;Pool;Primers_in_pool;nPrimer
2;Pan troglodytes;peak1;peak_1_old_3;(0.1|F)_peak1, (0.2|R)_peak1;2
2;Pan troglodytes;peak2;peak_2_old_2;(0.1|F)_peak2, (0.2|R)_peak2, (0.4|R)_peak2, (0.6|R)_peak2;4
2;Pan troglodytes;peak3;peak_3_old_4;(0.1|F)_peak3, (0.2|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;5
2;Pan troglodytes;peak5;peak_5_old_8;(0.2|R)_peak5, (0.12|F)_peak5;2
2;Pan troglodytes;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
2;Pan troglodytes;peak7;peak_7_old_2;(0.1|F)_peak7, (0.4|F)_peak7, (0.6|F)_peak7, (0.12|R)_peak7;4
3;Pan paniscus;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
3;Pan paniscus;peak3;peak_3_old_4;(0.1|F)_peak3, (0.2|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;5
3;Pan paniscus;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
3;Pan paniscus;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
4;Gorilla gorilla;peak1;peak_1_old_3;(0.1|F)_peak1, (0.2|R)_peak1;2
4;Gorilla gorilla;peak2;peak_2_old_2;(0.1|F)_peak2, (0.2|R)_peak2, (0.4|R)_peak2, (0.6|R)_peak2;4
4;Gorilla gorilla;peak3;peak_3_old_4;(0.1|F)_peak3, (0.2|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;5
4;Gorilla gorilla;peak5;peak_5_old_8;(0.2|R)_peak5, (0.12|F)_peak5;2
4;Gorilla gorilla;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
4;Gorilla gorilla;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
5;Pongo abelii;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
5;Pongo abelii;peak2;peak_2_old_2;(0.1|F)_peak2, (0.2|R)_peak2, (0.4|R)_peak2, (0.6|R)_peak2;4
5;Pongo abelii;peak3;peak_3_old_4;(0.1|F)_peak3, (0.2|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;5
5;Pongo abelii;peak5;peak_5_old_8;(0.2|R)_peak5, (0.12|F)_peak5;2
5;Pongo abelii;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
5;Pongo abelii;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
6;Symphalangus syndactylus;peak1;peak_1_old_3;(0.1|F)_peak1, (0.2|R)_peak1;2
6;Symphalangus syndactylus;peak2;peak_2_old_2;(0.1|F)_peak2, (0.2|R)_peak2, (0.4|R)_peak2, (0.6|R)_peak2;4
6;Symphalangus syndactylus;peak3;peak_3_old_4;(0.1|F)_peak3, (0.2|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;5
6;Symphalangus syndactylus;peak5;peak_5_old_8;(0.2|R)_peak5, (0.12|F)_peak5;2
6;Symphalangus syndactylus;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
6;Symphalangus syndactylus;peak7;peak_7_old_2;(0.1|F)_peak7, (0.4|F)_peak7, (0.6|F)_peak7, (0.12|R)_peak7;4
7;Nomascus gabriellae;exon2;exon_2_old_1;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F), TRNP1_exon2_(0.8|R);6
7;Nomascus gabriellae;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
7;Nomascus gabriellae;peak2;peak2_new_1;(0.1|F)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;5
7;Nomascus gabriellae;peak3;peak_3_old_1;(0.1|F)_peak3, (0.2|R)_peak3, (0.6|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
7;Nomascus gabriellae;peak5;peak_5_old_1;(0.1|F)_peak5, (0.2|R)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.11|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;7
7;Nomascus gabriellae;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
7;Nomascus gabriellae;peak7;peak_7_old_2;(0.1|F)_peak7, (0.4|F)_peak7, (0.6|F)_peak7, (0.12|R)_peak7;4
8;Hylobates agilis;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
8;Hylobates agilis;peak3;peak_3_old_1;(0.1|F)_peak3, (0.2|R)_peak3, (0.6|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
8;Hylobates agilis;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
8;Hylobates agilis;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
9;Papio anubis;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
9;Papio anubis;peak5;peak_5_old_1;(0.1|F)_peak5, (0.2|R)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.11|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;7
9;Papio anubis;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
9;Papio anubis;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
10;Papio hamadryas;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
10;Papio hamadryas;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
10;Papio hamadryas;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
11;Mandrillus sphinx;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
11;Mandrillus sphinx;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
11;Mandrillus sphinx;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
12;Cercocebus chrysogaster;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
12;Cercocebus chrysogaster;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
12;Cercocebus chrysogaster;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
13;Macaca mulatta;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
13;Macaca mulatta;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
13;Macaca mulatta;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
14;Macaca arctoides;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
14;Macaca arctoides;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
14;Macaca arctoides;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
15;Macaca leonia;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
15;Macaca leonia;peak2;peak2_new_1;(0.1|F)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;5
15;Macaca leonia;peak3;peak_3_old_1;(0.1|F)_peak3, (0.2|R)_peak3, (0.6|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
15;Macaca leonia;peak5;peak_5_old_1;(0.1|F)_peak5, (0.2|R)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.11|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;7
15;Macaca leonia;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
15;Macaca leonia;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
16;Macaca sylvanus;exon2;exon_2_old_1;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F), TRNP1_exon2_(0.8|R);6
16;Macaca sylvanus;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
16;Macaca sylvanus;peak2;peak2_new_1;(0.1|F)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;5
16;Macaca sylvanus;peak3;peak_3_old_1;(0.1|F)_peak3, (0.2|R)_peak3, (0.6|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
16;Macaca sylvanus;peak5;peak_5_old_1;(0.1|F)_peak5, (0.2|R)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.11|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;7
16;Macaca sylvanus;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
16;Macaca sylvanus;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
17;Macaca nemestrina;exon2;exon_2_old_1;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F), TRNP1_exon2_(0.8|R);6
17;Macaca nemestrina;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
17;Macaca nemestrina;peak2;peak2_new_1;(0.1|F)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;5
17;Macaca nemestrina;peak3;peak_3_old_1;(0.1|F)_peak3, (0.2|R)_peak3, (0.6|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
17;Macaca nemestrina;peak5;peak_5_old_1;(0.1|F)_peak5, (0.2|R)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.11|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;7
17;Macaca nemestrina;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
17;Macaca nemestrina;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
18;Cercopithecus cephus;exon2;exon_2_old_1;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F), TRNP1_exon2_(0.8|R);6
