n;plasmid;GFP;GFP_Ki67
1;GFP;20;8
1;GFP;35;12
1;GFP;18;5
1;GFP;31;11
1;GFP;24;10
1;GFP;29;9
1;GFP;16;2
1;GFP;27;8
1;msTRNP;11;5
1;msTRNP;17;8
1;msTRNP;30;18
1;msTRNP;16;8
1;msTRNP;21;12
1;msTRNP;18;5
1;msTRNP;14;4
1;msTRNP;11;5
1;msTRNP;13;6
1;msTRNP;17;5
1;msTRNP;19;10
1;msTRNP;26;11
1;hmTRNP;19;9
1;hmTRNP;11;8
1;hmTRNP;23;18
1;hmTRNP;19;12
1;hmTRNP;24;12
1;hmTRNP;10;3
1;hmTRNP;12;8
1;hmTRNP;13;8
1;hmTRNP;16;12
1;hmTRNP;15;8
1;hmTRNP;25;15
1;hmTRNP;16;8
1;hmTRNP;18;13
1;ferTRNP;16;3
1;ferTRNP;22;16
1;ferTRNP;13;2
1;ferTRNP;20;14
1;ferTRNP;8;4
1;ferTRNP;21;14
1;ferTRNP;8;2
1;ferTRNP;11;6
1;ferTRNP;12;8
1;ferTRNP;17;14
1;ferTRNP;16;12
1;ferTRNP;13;7
1;ferTRNP;11;6
2;GFP;17;5
2;GFP;25;6
2;GFP;26;9
2;GFP;7;2
2;GFP;25;0
2;GFP;18;7
2;GFP;22;6
2;GFP;27;8
2;GFP;24;7
2;msTRNP;10;4
2;msTRNP;16;5
2;msTRNP;6;5
2;msTRNP;16;3
2;msTRNP;18;9
2;msTRNP;12;7
2;msTRNP;16;11
2;msTRNP;8;3
2;msTRNP;12;7
2;msTRNP;11;4
2;msTRNP;10;0
2;msTRNP;17;11
2;msTRNP;12;6
2;msTRNP;14;9
2;msTRNP;18;6
2;hmTRNP;20;11
2;hmTRNP;19;10
2;hmTRNP;22;11
2;hmTRNP;17;8
2;hmTRNP;18;7
2;hmTRNP;15;10
2;hmTRNP;18;11
2;hmTRNP;12;6
2;hmTRNP;12;7
2;hmTRNP;22;13
2;hmTRNP;12;7
2;ferTRNP;7;4
2;ferTRNP;15;6
2;ferTRNP;11;3
2;ferTRNP;14;9
2;ferTRNP;9;3
2;ferTRNP;8;4
2;ferTRNP;16;8
2;ferTRNP;8;5
2;ferTRNP;16;6
2;ferTRNP;13;8
2;ferTRNP;10;2
2;ferTRNP;6;4
2;ferTRNP;9;6
2;ferTRNP;6;4
2;ferTRNP;7;6
2;ferTRNP;8;2
2;ferTRNP;13;5
3;GFP;19;5
3;GFP;19;7
3;GFP;35;9
3;GFP;24;7
3;GFP;22;5
3;GFP;33;0
3;msTRNP;11;5
3;msTRNP;11;5
3;msTRNP;8;1
3;msTRNP;9;2
3;msTRNP;12;5
3;msTRNP;23;4
3;msTRNP;19;9
3;msTRNP;6;4
3;msTRNP;16;7
3;msTRNP;16;9
3;hmTRNP;16;2
3;hmTRNP;6;3
3;hmTRNP;5;4
3;hmTRNP;16;0
3;hmTRNP;7;2
3;hmTRNP;4;2
3;hmTRNP;5;2
3;hmTRNP;3;2
3;hmTRNP;12;0
3;hmTRNP;8;4
3;hmTRNP;18;6
3;hmTRNP;10;4
3;ferTRNP;14;0
3;ferTRNP;6;2
3;ferTRNP;8;6
3;ferTRNP;9;3
3;ferTRNP;6;2
3;ferTRNP;17;4
3;ferTRNP;5;4
3;ferTRNP;7;5
3;ferTRNP;7;2
3;ferTRNP;12;2
3;ferTRNP;26;2
3;ferTRNP;7;2
4;GFP;3;3
4;GFP;1;1
4;GFP;9;3
4;GFP;4;1
4;GFP;7;2
4;GFP;2;0
4;GFP;14;3
4;GFP;9;3
4;GFP;17;7
4;GFP;15;2
4;GFP;8;3
4;GFP;8;2
4;GFP;8;2
4;msTRNP;7;3
4;msTRNP;10;3
4;msTRNP;13;5
4;msTRNP;9;2
4;msTRNP;11;2
4;msTRNP;11;2
4;msTRNP;11;3
4;msTRNP;6;3
4;msTRNP;3;1
4;msTRNP;13;7
4;msTRNP;9;3
4;msTRNP;2;0
4;hmTRNP;17;9
4;hmTRNP;9;4
4;hmTRNP;17;7
4;hmTRNP;5;4
4;hmTRNP;2;1
4;hmTRNP;9;2
4;hmTRNP;7;4
4;hmTRNP;7;5
4;hmTRNP;17;5
4;ferTRNP;13;5
4;ferTRNP;15;4
4;ferTRNP;9;5
4;ferTRNP;13;3
4;ferTRNP;16;6
4;ferTRNP;10;4
4;ferTRNP;3;1
4;ferTRNP;14;4
4;ferTRNP;12;7
4;ferTRNP;7;1
5;GFP;6;0
5;GFP;13;2
5;GFP;8;1
5;GFP;18;6
5;GFP;6;0
5;GFP;8;1
5;GFP;13;2
5;GFP;14;0
5;GFP;18;8
5;GFP;12;6
5;GFP;10;3
5;GFP;13;3
5;GFP;7;2
5;GFP;9;4
5;GFP;10;0
5;GFP;8;0
5;GFP;9;1
5;GFP;7;0
5;msTRNP;8;6
5;msTRNP;8;2
5;msTRNP;10;1
5;msTRNP;11;6
5;msTRNP;13;5
5;msTRNP;7;3
5;msTRNP;10;4
5;msTRNP;9;4
5;msTRNP;12;1
5;msTRNP;10;5
5;msTRNP;9;2
5;msTRNP;13;10
5;msTRNP;8;5
5;msTRNP;7;6
5;msTRNP;5;2
5;hmTRNP;5;1
5;hmTRNP;8;4
5;hmTRNP;9;5
5;hmTRNP;6;3
5;hmTRNP;4;1
5;hmTRNP;9;5
5;hmTRNP;10;2
5;hmTRNP;4;3
5;hmTRNP;12;4
5;hmTRNP;7;3
5;hmTRNP;14;6
5;hmTRNP;10;5
5;hmTRNP;12;1
5;hmTRNP;15;7
5;hmTRNP;9;2
5;hmTRNP;10;8
5;hmTRNP;9;0
5;hmTRNP;7;2
5;hmTRNP;12;6
5;hmTRNP;14;7
5;ferTRNP;5;2
5;ferTRNP;6;1
5;ferTRNP;13;9
5;ferTRNP;9;3
5;ferTRNP;9;4
5;ferTRNP;6;1
5;ferTRNP;9;4
5;ferTRNP;9;4
5;ferTRNP;11;2
5;ferTRNP;9;0
5;ferTRNP;11;1
5;ferTRNP;8;4
5;ferTRNP;6;6
5;ferTRNP;9;5
5;ferTRNP;4;1
5;ferTRNP;4;0